Tags,Category
Insurance / Renter's Insurance / Farming Equipment Insurance / Livestock Insurance,Insurance (other than health)
Insurance / Renter's Insurance / Animal Insurance / Livestock Insurance,Insurance (other than health)
Insurance / Farming Equipment Insurance / Animal Insurance / Livestock Insurance,Insurance (other than health)
Insurance / Lease Insurance / Renter's Insurance / Farming Equipment Insurance / Animal Insurance,Insurance (other than health)
Insurance / Lease Insurance / Renter's Insurance / Farming Equipment Insurance / Livestock Insurance,Insurance (other than health)
Insurance / Lease Insurance / Renter's Insurance / Animal Insurance / Livestock Insurance,Insurance (other than health)
Insurance / Lease Insurance / Farming Equipment Insurance / Animal Insurance / Livestock Insurance,Insurance (other than health)
Insurance / Renter's Insurance / Farming Equipment Insurance / Animal Insurance / Livestock Insurance,Insurance (other than health)
Lease Insurance,Insurance (other than health)
Lease Insurance / Renter's Insurance,Insurance (other than health)
Lease Insurance / Farming Equipment Insurance,Insurance (other than health)
Lease Insurance / Animal Insurance,Insurance (other than health)
Lease Insurance / Livestock Insurance,Insurance (other than health)
Lease Insurance / Renter's Insurance / Farming Equipment Insurance,Insurance (other than health)
Lease Insurance / Renter's Insurance / Animal Insurance,Insurance (other than health)
Lease Insurance / Renter's Insurance / Livestock Insurance,Insurance (other than health)
Lease Insurance / Farming Equipment Insurance / Animal Insurance,Insurance (other than health)
Lease Insurance / Farming Equipment Insurance / Livestock Insurance,Insurance (other than health)
Lease Insurance / Animal Insurance / Livestock Insurance,Insurance (other than health)
Lease Insurance / Renter's Insurance / Farming Equipment Insurance / Animal Insurance,Insurance (other than health)
Lease Insurance / Renter's Insurance / Farming Equipment Insurance / Livestock Insurance,Insurance (other than health)
Lease Insurance / Renter's Insurance / Animal Insurance / Livestock Insurance,Insurance (other than health)
Lease Insurance / Farming Equipment Insurance / Animal Insurance / Livestock Insurance,Insurance (other than health)
Lease Insurance / Renter's Insurance / Farming Equipment Insurance / Animal Insurance / Livestock Insurance,Insurance (other than health)
Renter's Insurance,Insurance (other than health)
Renter's Insurance / Farming Equipment Insurance,Insurance (other than health)
Renter's Insurance / Animal Insurance,Insurance (other than health)
Renter's Insurance / Livestock Insurance,Insurance (other than health)
Renter's Insurance / Farming Equipment Insurance / Animal Insurance,Insurance (other than health)
Renter's Insurance / Farming Equipment Insurance / Livestock Insurance,Insurance (other than health)
Renter's Insurance / Animal Insurance / Livestock Insurance,Insurance (other than health)
Renter's Insurance / Farming Equipment Insurance / Animal Insurance / Livestock Insurance,Insurance (other than health)
Farming Equipment Insurance / Animal Insurance,Insurance (other than health)
Farming Equipment Insurance / Livestock Insurance,Insurance (other than health)
Farming Equipment Insurance / Animal Insurance / Livestock Insurance,Insurance (other than health)
Animal Insurance,Insurance (other than health)
Animal Insurance / Livestock Insurance,Insurance (other than health)
Livestock Insurance,Insurance (other than health)
Insurance / Property Insurance,Insurance (other than health)
Property Insurance,Insurance (other than health)
Loan for Farm,Interest on Loans & Mortgages
Tractor/Equipment Purchases,Interest on Loans & Mortgages
Tractor,Interest on Loans & Mortgages
Equipment Purchases,Interest on Loans & Mortgages
Pension / Profit-sharing / Labor / Employee / Salary Workers / Workers / Hired Labor,Pension and Profit-sharing Plan
Pension,Pension and Profit-sharing Plan
Pension / Profit-sharing,Pension and Profit-sharing Plan
Pension / Labor,Pension and Profit-sharing Plan
Pension / Employee,Pension and Profit-sharing Plan
Pension / Salary Workers,Pension and Profit-sharing Plan
Pension / Workers,Pension and Profit-sharing Plan
Pension / Hired Labor,Pension and Profit-sharing Plan
Pension / Profit-sharing / Labor,Pension and Profit-sharing Plan
Pension / Profit-sharing / Employee,Pension and Profit-sharing Plan
Pension / Profit-sharing / Salary Workers,Pension and Profit-sharing Plan
Pension / Profit-sharing / Workers,Pension and Profit-sharing Plan
Pension / Profit-sharing / Hired Labor,Pension and Profit-sharing Plan
Pension / Labor / Employee,Pension and Profit-sharing Plan
Pension / Labor / Salary Workers,Pension and Profit-sharing Plan
Pension / Labor / Workers,Pension and Profit-sharing Plan
Pension / Labor / Hired Labor,Pension and Profit-sharing Plan
Pension / Employee / Salary Workers,Pension and Profit-sharing Plan
Pension / Employee / Workers,Pension and Profit-sharing Plan
Pension / Employee / Hired Labor,Pension and Profit-sharing Plan
Pension / Salary Workers / Workers,Pension and Profit-sharing Plan
Pension / Salary Workers / Hired Labor,Pension and Profit-sharing Plan
Pension / Workers / Hired Labor,Pension and Profit-sharing Plan
Pension / Profit-sharing / Labor / Employee,Pension and Profit-sharing Plan
Pension / Profit-sharing / Labor / Salary Workers,Pension and Profit-sharing Plan
Pension / Profit-sharing / Labor / Workers,Pension and Profit-sharing Plan
Pension / Profit-sharing / Labor / Hired Labor,Pension and Profit-sharing Plan
Pension / Profit-sharing / Employee / Salary Workers,Pension and Profit-sharing Plan
Pension / Profit-sharing / Employee / Workers,Pension and Profit-sharing Plan
Pension / Profit-sharing / Employee / Hired Labor,Pension and Profit-sharing Plan
Pension / Profit-sharing / Salary Workers / Workers,Pension and Profit-sharing Plan
Pension / Profit-sharing / Salary Workers / Hired Labor,Pension and Profit-sharing Plan
Pension / Profit-sharing / Workers / Hired Labor,Pension and Profit-sharing Plan
Pension / Labor / Employee / Salary Workers,Pension and Profit-sharing Plan
Pension / Labor / Employee / Workers,Pension and Profit-sharing Plan
Pension / Labor / Employee / Hired Labor,Pension and Profit-sharing Plan
Pension / Labor / Salary Workers / Workers,Pension and Profit-sharing Plan
Pension / Labor / Salary Workers / Hired Labor,Pension and Profit-sharing Plan
Pension / Labor / Workers / Hired Labor,Pension and Profit-sharing Plan
Pension / Employee / Salary Workers / Workers,Pension and Profit-sharing Plan
Pension / Employee / Salary Workers / Hired Labor,Pension and Profit-sharing Plan
Pension / Employee / Workers / Hired Labor,Pension and Profit-sharing Plan
Pension / Salary Workers / Workers / Hired Labor,Pension and Profit-sharing Plan
Pension / Profit-sharing / Labor / Employee / Salary Workers,Pension and Profit-sharing Plan
Pension / Profit-sharing / Labor / Employee / Workers,Pension and Profit-sharing Plan
Pension / Profit-sharing / Labor / Employee / Hired Labor,Pension and Profit-sharing Plan
Pension / Profit-sharing / Labor / Salary Workers / Workers,Pension and Profit-sharing Plan
Pension / Profit-sharing / Labor / Salary Workers / Hired Labor,Pension and Profit-sharing Plan
Pension / Profit-sharing / Labor / Workers / Hired Labor,Pension and Profit-sharing Plan
Pension / Profit-sharing / Employee / Salary Workers / Workers,Pension and Profit-sharing Plan
Pension / Profit-sharing / Employee / Salary Workers / Hired Labor,Pension and Profit-sharing Plan
Pension / Profit-sharing / Employee / Workers / Hired Labor,Pension and Profit-sharing Plan
Pension / Labor / Employee / Salary Workers / Workers,Pension and Profit-sharing Plan
Pension / Labor / Employee / Salary Workers / Hired Labor,Pension and Profit-sharing Plan
Pension / Labor / Employee / Workers / Hired Labor,Pension and Profit-sharing Plan
Pension / Profit-sharing / Labor / Employee / Salary Workers / Workers,Pension and Profit-sharing Plan
Pension / Profit-sharing / Labor / Employee / Salary Workers / Hired Labor,Pension and Profit-sharing Plan
Pension / Profit-sharing / Labor / Employee / Workers / Hired Labor,Pension and Profit-sharing Plan
Pension / Profit-sharing / Labor / Salary Workers / Workers / Hired Labor,Pension and Profit-sharing Plan
Pension / Profit-sharing / Employee / Salary Workers / Workers / Hired Labor,Pension and Profit-sharing Plan
Pension / Labor / Employee / Salary Workers / Workers / Hired Labor,Pension and Profit-sharing Plan
Profit-sharing,Pension and Profit-sharing Plan
Profit-sharing / Labor,Pension and Profit-sharing Plan
Profit-sharing / Employee,Pension and Profit-sharing Plan
Profit-sharing / Salary Workers,Pension and Profit-sharing Plan
Profit-sharing / Workers,Pension and Profit-sharing Plan
Profit-sharing / Hired Labor,Pension and Profit-sharing Plan
Profit-sharing / Labor / Employee,Pension and Profit-sharing Plan
Profit-sharing / Labor / Salary Workers,Pension and Profit-sharing Plan
Profit-sharing / Labor / Workers,Pension and Profit-sharing Plan
Profit-sharing / Labor / Hired Labor,Pension and Profit-sharing Plan
Profit-sharing / Employee / Salary Workers,Pension and Profit-sharing Plan
Profit-sharing / Employee / Hired Labor,Pension and Profit-sharing Plan
Profit-sharing / Salary Workers / Workers,Pension and Profit-sharing Plan
Profit-sharing / Salary Workers / Hired Labor,Pension and Profit-sharing Plan
Profit-sharing / Workers / Hired Labor,Pension and Profit-sharing Plan
Profit-sharing / Labor / Employee / Salary Workers,Pension and Profit-sharing Plan
Profit-sharing / Labor / Employee / Workers,Pension and Profit-sharing Plan
Profit-sharing / Labor / Employee / Hired Labor,Pension and Profit-sharing Plan
Profit-sharing / Labor / Salary Workers / Workers,Pension and Profit-sharing Plan
Profit-sharing / Labor / Salary Workers / Hired Labor,Pension and Profit-sharing Plan
Profit-sharing / Labor / Workers / Hired Labor,Pension and Profit-sharing Plan
Profit-sharing / Employee / Salary Workers / Workers,Pension and Profit-sharing Plan
Profit-sharing / Employee / Salary Workers / Hired Labor,Pension and Profit-sharing Plan
Profit-sharing / Employee / Workers / Hired Labor,Pension and Profit-sharing Plan
Profit-sharing / Salary Workers / Workers / Hired Labor,Pension and Profit-sharing Plan
Profit-sharing / Labor / Employee / Salary Workers / Workers,Pension and Profit-sharing Plan
Profit-sharing / Labor / Employee / Salary Workers / Hired Labor,Pension and Profit-sharing Plan
Profit-sharing / Labor / Employee / Workers / Hired Labor,Pension and Profit-sharing Plan
Profit-sharing / Labor / Salary Workers / Workers / Hired Labor,Pension and Profit-sharing Plan
Profit-sharing / Employee / Salary Workers / Workers / Hired Labor,Pension and Profit-sharing Plan
Profit-sharing / Labor / Employee / Salary Workers / Workers / Hired Labor,Pension and Profit-sharing Plan
Labor,Pension and Profit-sharing Plan
Labor / Employee,Pension and Profit-sharing Plan
Labor / Salary Workers,Pension and Profit-sharing Plan
Labor / Workers,Pension and Profit-sharing Plan
Labor / Hired Labor,Pension and Profit-sharing Plan
Labor / Employee / Salary Workers,Pension and Profit-sharing Plan
Labor / Employee / Workers,Pension and Profit-sharing Plan
Labor / Employee / Hired Labor,Pension and Profit-sharing Plan
Labor / Salary Workers / Workers,Pension and Profit-sharing Plan
Labor / Salary Workers / Hired Labor,Pension and Profit-sharing Plan
Labor / Workers / Hired Labor,Pension and Profit-sharing Plan
Labor / Employee / Salary Workers / Workers,Pension and Profit-sharing Plan
Labor / Employee / Salary Workers / Hired Labor,Pension and Profit-sharing Plan
Labor / Employee / Workers / Hired Labor,Pension and Profit-sharing Plan
Labor / Salary Workers / Workers / Hired Labor,Pension and Profit-sharing Plan
Labor / Employee / Salary Workers / Workers / Hired Labor,Pension and Profit-sharing Plan
Employee,Pension and Profit-sharing Plan
Employee / Salary Workers,Pension and Profit-sharing Plan
Employee / Workers,Pension and Profit-sharing Plan
Employee / Hired Labor,Pension and Profit-sharing Plan
Employee / Salary Workers / Workers,Pension and Profit-sharing Plan
Employee / Salary Workers / Hired Labor,Pension and Profit-sharing Plan
Employee / Workers / Hired Labor,Pension and Profit-sharing Plan
Employee / Salary Workers / Workers / Hired Labor,Pension and Profit-sharing Plan
Salary Workers,Pension and Profit-sharing Plan
Salary Workers / Workers,Pension and Profit-sharing Plan
Salary Workers / Hired Labor,Pension and Profit-sharing Plan
Salary Workers / Workers / Hired Labor,Pension and Profit-sharing Plan
Workers,Pension and Profit-sharing Plan
Workers / Hired Labor,Pension and Profit-sharing Plan
Hired Labor,Pension and Profit-sharing Plan
Rental / Rent / Rent Payment / Lease /  Lease Payment,Land & Animal Rent or Lease
Rental,Land & Animal Rent or Lease
Rental / Rent,Land & Animal Rent or Lease
Rental / Rent Payment,Land & Animal Rent or Lease
Rental / Lease,Land & Animal Rent or Lease
Rental / Lease Payment,Land & Animal Rent or Lease
Rental / Rent / Rent Payment,Land & Animal Rent or Lease
Rental / Rent / Lease,Land & Animal Rent or Lease
Rental / Rent / Lease Payment,Land & Animal Rent or Lease
Rental / Rent Payment / Lease,Land & Animal Rent or Lease
Rental / Rent Payment / Lease Payment,Land & Animal Rent or Lease
Rental / Lease /  Lease Payment,Land & Animal Rent or Lease
Rental / Rent / Rent Payment / Lease,Land & Animal Rent or Lease
Rental / Rent / Rent Payment /  Lease Payment,Land & Animal Rent or Lease
Rental / Rent / Lease /  Lease Payment,Land & Animal Rent or Lease
Rental / Rent Payment / Lease /  Lease Payment,Land & Animal Rent or Lease
Rent,Land & Animal Rent or Lease
Rent / Rent Payment,Land & Animal Rent or Lease
Rent / Lease,Land & Animal Rent or Lease
Rent / Lease Payment,Land & Animal Rent or Lease
Rent / Rent Payment / Lease,Land & Animal Rent or Lease
Rent / Rent Payment /  Lease Payment,Land & Animal Rent or Lease
Rent / Lease /  Lease Payment,Land & Animal Rent or Lease
Rent / Rent Payment / Lease /  Lease Payment,Land & Animal Rent or Lease
Rent Payment,Land & Animal Rent or Lease
Rent Payment / Lease,Land & Animal Rent or Lease
Rent Payment /  Lease Payment,Land & Animal Rent or Lease
Rent Payment / Lease /  Lease Payment,Land & Animal Rent or Lease
Lease,Land & Animal Rent or Lease
Lease /  Lease Payment,Land & Animal Rent or Lease
Lease Payment,Land & Animal Rent or Lease
Wheat Seeds / Seeds,Seeds & Plants
Wheat Seeds,Seeds & Plants
Seeds,Seeds & Plants
Farm House Loan / Farm Loan,Storage & Warehousing
Farm House Loan,Storage & Warehousing
Farm Loan,Storage & Warehousing
Tools,Supplies
Property Taxes / Landowner Taxes / Taxes,Property Taxes
Property Taxes,Property Taxes
Property Taxes / Landowner Taxes,Property Taxes
Property Taxes / Taxes,Property Taxes
Landowner Taxes / Taxes,Property Taxes
Landowner Taxes,Property Taxes
Taxes,Property Taxes
Vet & Medicine,Veterinery Breeding & Medicines
Vet,Veterinery Breeding & Medicines
Medicine,Veterinery Breeding & Medicines
Electricity / Power,Utility
Electricity,Utility
Power,Utility
Water / Plubming,Utility
Water,Utility
Plubming,Utility
Phone / Cell Phone / Telephone / Cell-Phone / Land-Line / Landline,Utility
Phone,Utility
Phone / Cell Phone,Utility
Phone / Telephone,Utility
Phone / Cell-Phone,Utility
Phone / Land-Line,Utility
Phone / Landline,Utility
Phone / Cell Phone / Telephone,Utility
Phone / Cell Phone / Cell-Phone,Utility
Phone / Cell Phone / Land-Line,Utility
Phone / Cell Phone / Landline,Utility
Phone / Telephone / Cell-Phone,Utility
Phone / Telephone / Land-Line,Utility
Phone / Telephone / Landline,Utility
Phone / Cell-Phone / Land-Line,Utility
Phone / Cell-Phone / Landline,Utility
Phone / Land-Line / Landline,Utility
Phone / Cell Phone / Telephone / Cell-Phone,Utility
Phone / Cell Phone / Telephone / Land-Line,Utility
Phone / Cell Phone / Telephone / Landline,Utility
Phone / Cell Phone / Cell-Phone / Land-Line,Utility
Phone / Cell Phone / Cell-Phone / Landline,Utility
Phone / Cell Phone / Land-Line / Landline,Utility
Phone / Telephone / Cell-Phone / Land-Line,Utility
Phone / Telephone / Cell-Phone / Landline,Utility
Phone / Telephone / Land-Line / Landline,Utility
Phone / Cell-Phone / Land-Line / Landline,Utility
Phone / Cell Phone / Telephone / Cell-Phone / Land-Line,Utility
Phone / Cell Phone / Telephone / Cell-Phone / Landline,Utility
Phone / Cell Phone / Telephone / Land-Line / Landline,Utility
Phone / Cell Phone / Cell-Phone / Land-Line / Landline,Utility
Phone / Telephone / Cell-Phone / Land-Line / Landline,Utility
Cell Phone,Utility
Cell Phone / Telephone,Utility
Cell Phone / Cell-Phone,Utility
Cell Phone / Land-Line,Utility
Cell Phone / Landline,Utility
Cell Phone / Telephone / Cell-Phone,Utility
Cell Phone / Telephone / Land-Line,Utility
Cell Phone / Telephone / Landline,Utility
Cell Phone / Cell-Phone / Land-Line,Utility
Cell Phone / Cell-Phone / Landline,Utility
Cell Phone / Telephone / Cell-Phone / Land-Line,Utility
Cell Phone / Telephone / Cell-Phone / Landline,Utility
Cell Phone / Telephone / Land-Line / Landline,Utility
Cell Phone / Cell-Phone / Land-Line / Landline,Utility
Cell Phone / Telephone / Cell-Phone / Land-Line / Landline,Utility
Telephone,Utility
Telephone / Cell-Phone,Utility
Telephone / Land-Line,Utility
Telephone / Landline,Utility
Telephone / Cell-Phone / Land-Line,Utility
Telephone / Cell-Phone / Landline,Utility
Telephone / Land-Line / Landline,Utility
Telephone / Cell-Phone / Land-Line / Landline,Utility
Cell-Phone,Utility
Cell-Phone / Land-Line,Utility
Cell-Phone / Landline,Utility
Cell-Phone / Land-Line / Landline,Utility
Land-Line,Utility
Land-Line / Landline,Utility
Landline,Utility
Natural Gas / Gas / Heating / Kerosene / Lamp Oil,Utility
Natural Gas,Utility
Natural Gas / Gas,Utility
Natural Gas / Heating,Utility
Natural Gas / Kerosene,Utility
Natural Gas / Lamp Oil,Utility
Natural Gas / Gas / Heating,Utility
Natural Gas / Gas / Kerosene,Utility
Natural Gas / Gas / Lamp Oil,Utility
Natural Gas / Heating / Kerosene,Utility
Natural Gas / Heating / Lamp Oil,Utility
Natural Gas / Kerosene / Lamp Oil,Utility
Natural Gas / Gas / Heating / Kerosene,Utility
Natural Gas / Gas / Heating / Lamp Oil,Utility
Natural Gas / Gas / Kerosene / Lamp Oil,Utility
Natural Gas / Heating / Kerosene / Lamp Oil,Utility
Gas / Heating,Utility
Gas / Kerosene,Utility
Gas / Lamp Oil,Utility
Gas / Heating / Kerosene,Utility
Gas / Heating / Lamp Oil,Utility
Gas / Kerosene / Lamp Oil,Utility
Gas / Heating / Kerosene / Lamp Oil,Utility
Heating,Utility
Heating / Kerosene,Utility
Heating / Lamp Oil,Utility
Heating / Kerosene / Lamp Oil,Utility
Kerosene,Utility
Kerosene / Lamp Oil,Utility
Lamp Oil,Utility
Wastewater / Sewage,Utility
Wastewater,Utility
Sewage,Utility
Heifer Purchases,Cost of Goods Sold
Accountant,Other Expenses: Miscellaneous
Attorney / Sewer / Educational Workshops / Well,Other Expenses: Other Miscellaneous
Attorney,Other Expenses: Other Miscellaneous
Attorney / Sewer,Other Expenses: Other Miscellaneous
Attorney / Educational Workshops,Other Expenses: Other Miscellaneous
Attorney / Well,Other Expenses: Other Miscellaneous
Attorney / Sewer / Educational Workshops,Other Expenses: Other Miscellaneous
Attorney / Sewer / Well,Other Expenses: Other Miscellaneous
Attorney / Educational Workshops / Well,Other Expenses: Other Miscellaneous
Sewer,Other Expenses: Other Miscellaneous
Sewer / Educational Workshops,Other Expenses: Other Miscellaneous
Sewer / Well,Other Expenses: Other Miscellaneous
Sewer / Educational Workshops / Well,Other Expenses: Other Miscellaneous
Educational Workshops,Other Expenses: Other Miscellaneous
Educational Workshops / Well,Other Expenses: Other Miscellaneous
Well,Other Expenses: Other Miscellaneous
,Ag program payments
,Agricultural program payments
,Commodity Credit Corporation
,federal crop disaster payments
,"Rent and leases: Machinery, equipment and vehicles"
,Specified Custom Hire Income
,Other Income
