Tags,Category,Type,Code,Category1,Category2,Category3
Wheat / Grain / Harvest,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Wheat,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Wheat / Grain,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Wheat / Harvest,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Grain,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Grain / Harvest,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Harvest,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Sales of Wheat,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Wool / Lamb Products / Animal Products,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Wool,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Wool / Lamb Products,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Wool / Animal Products,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Lamb Products,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Lamb Products / Animal Products,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Animal Products,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
"Sales of livestock, produce, grains and other products","Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Sales of Livestock,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Produce Grains,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Produce Grains & Other Products,"Sales of livestock, produce, grains and other products",Income,line_1_a,,,
Coop / Rebate / Patronage Dividends,Cooperative distributions received,Income,line_3_a,,,
Coop,Cooperative distributions received,Income,line_3_a,,,
Cooperative,Cooperative distributions received,Income,line_3_a,,,
Cooperative distributions,Cooperative distributions received,Income,line_3_a,,,
Coop / Rebate,Cooperative distributions received,Income,line_3_a,,,
Coop / Patronage Dividends,Cooperative distributions received,Income,line_3_a,,,
Rebate,Cooperative distributions received,Income,line_3_a,,,
Rebate / Patronage Dividends,Cooperative distributions received,Income,line_3_a,,,
Patronage Dividends,Cooperative distributions received,Income,line_3_a,,,
Cooperative distributions received,Cooperative distributions received,Income,line_3_a,,,
Distributions,Cooperative distributions received,Income,line_3_a,,,
Distributions Received,Cooperative distributions received,Income,line_3_a,,,
Received,Cooperative distributions received,Income,line_3_a,,,
Insurance Payout,Crop insurance proceeds and federal crop disaster payments,Income,line_6_a,,,
Proceeds,Crop insurance proceeds and federal crop disaster payments,Income,line_6_a,,,
Crop,Crop insurance proceeds and federal crop disaster payments,Income,line_6_a,,,
Crop insurance,Unknown,Unknown,Unknown,Insurance (other than health),Crop insurance proceeds and federal crop disaster payments,
Crop insurance proceeds,Crop insurance proceeds and federal crop disaster payments,Income,line_6_a,,,
federal crop,Crop insurance proceeds and federal crop disaster payments,Income,line_6_a,,,
federal crop disaster,Crop insurance proceeds and federal crop disaster payments,Income,line_6_a,,,
federal crop disaster payments,Crop insurance proceeds and federal crop disaster payments,Income,line_6_a,,,
Crop insurance proceeds and federal crop disaster payments,Crop insurance proceeds and federal crop disaster payments,Income,line_6_a,,,
Baling Alfalfa Hay / Baling,Custom hire (machine work),Expense,line_13,,,
Baling Alfalfa Hay,Custom hire (machine work),Expense,line_13,,,
Baling,Custom hire (machine work),Expense,line_13,,,
Custom Hire (Machine Work),Custom hire (machine work),Expense,line_13,,,
Custom Hire,Custom hire (machine work),Expense,line_13,,,
Machine Work,Custom hire (machine work),Expense,line_13,,,
Lubricant / Lube / Oil / Oil Change / Repair / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Lube,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Oil,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Oil Change,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Lube / Oil,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Lube / Oil Change,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Lube / Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Lube / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Oil / Oil Change,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Oil / Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Oil / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Oil Change / Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Oil Change / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Repair / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Lube / Oil / Oil Change,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Lube / Oil / Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Lube / Oil / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Lube / Oil Change / Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Lube / Oil Change / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Lube / Repair / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Oil / Oil Change / Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Oil / Oil Change / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Oil / Repair / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Oil Change / Repair / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Lube / Oil / Oil Change / Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Lube / Oil / Oil Change / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Lube / Oil / Repair / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Lube / Oil Change / Repair / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lubricant / Oil / Oil Change / Repair / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lube,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lube / Oil,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lube / Oil Change,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lube / Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lube / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lube / Oil / Oil Change,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lube / Oil / Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lube / Oil / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lube / Oil Change / Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lube / Oil Change / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lube / Repair / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lube / Oil / Oil Change / Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lube / Oil / Oil Change / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lube / Oil / Repair / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lube / Oil Change / Repair / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Lube / Oil / Oil Change / Repair / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Oil,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,"Gasoline, fuel and oil"
Oil / Oil Change,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Oil / Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Oil / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Oil / Oil Change / Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Oil / Oil Change / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Oil / Repair / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Oil / Oil Change / Repair / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Oil Change,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Oil Change / Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Oil Change / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Oil Change / Repair / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Repair / Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Car Repair,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Repairs,Unknown,Unknown,Unknown,Car and truck expenses,Repairs and maintenance,
Parking / Car Parking / Vehicle Storage,Car and truck expenses,Expense,line_10,,,
Parking,Car and truck expenses,Expense,line_10,,,
Parking / Car Parking,Car and truck expenses,Expense,line_10,,,
Parking / Vehicle Storage,Car and truck expenses,Expense,line_10,,,
Car Parking / Vehicle Storage,Car and truck expenses,Expense,line_10,,,
Vehicle Storage,Car and truck expenses,Expense,line_10,,,
Toll / Bridge Toll / Road Toll,Car and truck expenses,Expense,line_10,,,
Toll,Car and truck expenses,Expense,line_10,,,
Toll / Bridge Toll,Car and truck expenses,Expense,line_10,,,
Toll / Road Toll,Car and truck expenses,Expense,line_10,,,
Bridge Toll,Car and truck expenses,Expense,line_10,,,
Bridge Toll / Road Toll,Car and truck expenses,Expense,line_10,,,
Road Toll,Car and truck expenses,Expense,line_10,,,
Insurance / Car Insurance,Car and truck expenses,Expense,line_10,,,
Car Insurance,Car and truck expenses,Expense,line_10,,,
Insurance / Farming Equipment Insurance,Unknown,Unknown,Unknown,Car and truck expenses,Insurance (other than health),
Insurance,Unknown,Unknown,Unknown,Car and truck expenses,Insurance (other than health),
Farming Equipment Insurance,Unknown,Unknown,Unknown,Car and truck expenses,Insurance (other than health),
Pickup / Truck / ATV Repairs,Car and truck expenses,Expense,line_10,,,
Pickup/Truck/ATV Repairs,Car and truck expenses,Expense,line_10,,,
Pickup,Car and truck expenses,Expense,line_10,,,
Pickup / Truck,Car and truck expenses,Expense,line_10,,,
Pickup / ATV Repairs,Car and truck expenses,Expense,line_10,,,
Truck,Car and truck expenses,Expense,line_10,,,
Truck / ATV Repairs,Car and truck expenses,Expense,line_10,,,
ATV Repairs,Car and truck expenses,Expense,line_10,,,
Car and truck expenses,Car and truck expenses,Expense,line_10,,,
Chemicals / Agricultural Chemicals / Ag Chemicals,Chemicals,Expense,line_11,,,
Chemicals,Chemicals,Expense,line_11,,,
Chemicals / Agricultural Chemicals,Chemicals,Expense,line_11,,,
Chemicals / Ag Chemicals,Chemicals,Expense,line_11,,,
Agricultural Chemicals,Chemicals,Expense,line_11,,,
Agricultural Chemicals / Ag Chemicals,Chemicals,Expense,line_11,,,
Ag Chemicals,Chemicals,Expense,line_11,,,
Trees / Windbreaks / Brush / Bushes,Conservation expenses,Expense,line_12,,,
Trees,Conservation expenses,Expense,line_12,,,
Trees / Windbreaks,Conservation expenses,Expense,line_12,,,
Trees / Brush,Conservation expenses,Expense,line_12,,,
Trees / Bushes,Conservation expenses,Expense,line_12,,,
Trees / Windbreaks / Brush,Conservation expenses,Expense,line_12,,,
Trees / Windbreaks / Bushes,Conservation expenses,Expense,line_12,,,
Trees / Brush / Bushes,Conservation expenses,Expense,line_12,,,
Windbreaks,Conservation expenses,Expense,line_12,,,
Windbreaks / Brush,Conservation expenses,Expense,line_12,,,
Windbreaks / Bushes,Conservation expenses,Expense,line_12,,,
Windbreaks / Brush / Bushes,Conservation expenses,Expense,line_12,,,
Brush,Conservation expenses,Expense,line_12,,,
Brush / Bushes,Conservation expenses,Expense,line_12,,,
Bushes,Conservation expenses,Expense,line_12,,,
Conservation,Conservation expenses,Expense,line_12,,,
Conservation expenses,Conservation expenses,Expense,line_12,,,
Benefits / Employee Benefits / Farm Hired Labor / Hired Labor / Labor / Employee,Unknown,Unknown,Unknown,Employee benefit programs,Labor Hired (less employment credits),Pension and profit-sharing plans
Benefits,Employee benefit programs,Expense,line_15,,,
Benefits / Employee Benefits,Employee benefit programs,Expense,line_15,,,
Benefits / Farm Hired Labor,Unknown,Unknown,Unknown,Employee benefit programs,Labor Hired (less employment credits),Pension and profit-sharing plans
Benefits / Hired Labor,Employee benefit programs,Expense,line_15,,,
Benefits / Labor,Employee benefit programs,Expense,line_15,,,
Benefits / Employee,Employee benefit programs,Expense,line_15,,,
Benefits / Employee Benefits / Farm Hired Labor,Unknown,Unknown,Unknown,Employee benefit programs,Labor Hired (less employment credits),Pension and profit-sharing plans
Benefits / Employee Benefits / Hired Labor,Employee benefit programs,Expense,line_15,,,
Benefits / Employee Benefits / Labor,Employee benefit programs,Expense,line_15,,,
Benefits / Employee Benefits / Employee,Employee benefit programs,Expense,line_15,,,
Benefits / Farm Hired Labor / Hired Labor,Unknown,Unknown,Unknown,Employee benefit programs,Labor Hired (less employment credits),Pension and profit-sharing plans
Benefits / Farm Hired Labor / Labor,Unknown,Unknown,Unknown,Employee benefit programs,Labor Hired (less employment credits),Pension and profit-sharing plans
Benefits / Farm Hired Labor / Employee,Unknown,Unknown,Unknown,Employee benefit programs,Labor Hired (less employment credits),Pension and profit-sharing plans
Benefits / Hired Labor / Labor,Employee benefit programs,Expense,line_15,,,
Benefits / Hired Labor / Employee,Employee benefit programs,Expense,line_15,,,
Benefits / Labor / Employee,Employee benefit programs,Expense,line_15,,,
Benefits / Employee Benefits / Farm Hired Labor / Hired Labor,Unknown,Unknown,Unknown,Employee benefit programs,Labor Hired (less employment credits),Pension and profit-sharing plans
Benefits / Employee Benefits / Farm Hired Labor / Labor,Unknown,Unknown,Unknown,Employee benefit programs,Labor Hired (less employment credits),Pension and profit-sharing plans
Benefits / Employee Benefits / Farm Hired Labor / Employee,Unknown,Unknown,Unknown,Employee benefit programs,Labor Hired (less employment credits),Pension and profit-sharing plans
Benefits / Employee Benefits / Hired Labor / Labor,Employee benefit programs,Expense,line_15,,,
Benefits / Employee Benefits  / Hired Labor / Employee,Employee benefit programs,Expense,line_15,,,
Benefits / Employee Benefits / Labor / Employee,Employee benefit programs,Expense,line_15,,,
Benefits / Farm Hired Labor / Hired Labor / Labor,Unknown,Unknown,Unknown,Employee benefit programs,Labor Hired (less employment credits),Pension and profit-sharing plans
Benefits / Farm Hired Labor / Hired Labor / Employee,Unknown,Unknown,Unknown,Employee benefit programs,Labor Hired (less employment credits),Pension and profit-sharing plans
Benefits / Hired Labor / Labor / Employee,Employee benefit programs,Expense,line_15,,,
Benefits / Employee Benefits / Farm Hired Labor / Hired Labor / Labor,Unknown,Unknown,Unknown,Employee benefit programs,Labor Hired (less employment credits),Pension and profit-sharing plans
Benefits / Employee Benefits / Farm Hired Labor / Hired Labor / Employee,Unknown,Unknown,Unknown,Employee benefit programs,Labor Hired (less employment credits),Pension and profit-sharing plans
Benefits / Employee Benefits / Farm Hired Labor / Labor / Employee,Unknown,Unknown,Unknown,Employee benefit programs,Labor Hired (less employment credits),Pension and profit-sharing plans
Benefits / Employee Benefits / Hired Labor / Labor / Employee,Employee benefit programs,Expense,line_15,,,
Benefits / Farm Hired Labor / Hired Labor / Labor / Employee,Unknown,Unknown,Unknown,Employee benefit programs,Labor Hired (less employment credits),Pension and profit-sharing plans
Employee Benefits,Employee benefit programs,Expense,line_15,,,
Employee Benefits / Farm Hired Labor,Unknown,Unknown,Unknown,Employee benefit programs,Labor Hired (less employment credits),Pension and profit-sharing plans
Employee Benefits / Hired Labor,Employee benefit programs,Expense,line_15,,,
Employee Benefits / Labor,Employee benefit programs,Expense,line_15,,,
Employee Benefits / Employee,Employee benefit programs,Expense,line_15,,,
Employee Benefits / Farm Hired Labor / Hired Labor,Unknown,Unknown,Unknown,Employee benefit programs,,Pension and profit-sharing plans
Employee Benefits / Farm Hired Labor / Labor,Unknown,Unknown,Unknown,Employee benefit programs,,Pension and profit-sharing plans
Employee Benefits / Farm Hired Labor / Employee,Unknown,Unknown,Unknown,Employee benefit programs,,Pension and profit-sharing plans
Employee Benefits / Hired Labor / Labor,Employee benefit programs,Expense,line_15,,,
Employee Benefits / Hired Labor / Employee,Employee benefit programs,Expense,line_15,,,
Employee Benefits / Labor / Employee,Employee benefit programs,Expense,line_15,,,
Employee Benefits / Farm Hired Labor / Hired Labor / Labor,Unknown,Unknown,Unknown,Employee benefit programs,,Pension and profit-sharing plans
Employee Benefits / Farm Hired Labor / Hired Labor / Employee,Unknown,Unknown,Unknown,Employee benefit programs,,Pension and profit-sharing plans
Employee Benefits / Farm Hired Labor / Labor / Employee,Unknown,Unknown,Unknown,Employee benefit programs,,Pension and profit-sharing plans
Employee Benefits / Hired Labor / Labor / Employee,Employee benefit programs,Expense,line_15,,,
Employee Benefits / Farm Hired Labor / Hired Labor / Labor / Employee,Unknown,Unknown,Unknown,Employee benefit programs,,Pension and profit-sharing plans
Farm Hired Labor,Unknown,Unknown,Unknown,Employee benefit programs,,Pension and profit-sharing plans
Farm Hired Labor / Hired Labor,Unknown,Unknown,Unknown,Employee benefit programs,,Pension and profit-sharing plans
Farm Hired Labor / Labor,Unknown,Unknown,Unknown,Employee benefit programs,,Pension and profit-sharing plans
Farm Hired Labor / Employee,Unknown,Unknown,Unknown,Employee benefit programs,,Pension and profit-sharing plans
Farm Hired Labor / Hired Labor / Labor,Unknown,Unknown,Unknown,Employee benefit programs,,Pension and profit-sharing plans
Farm Hired Labor / Hired Labor / Employee,Unknown,Unknown,Unknown,Employee benefit programs,,Pension and profit-sharing plans
Farm Hired Labor / Labor / Employee,Unknown,Unknown,Unknown,Employee benefit programs,,Pension and profit-sharing plans
Farm Hired Labor / Hired Labor / Labor / Employee,Unknown,Unknown,Unknown,Employee benefit programs,,Pension and profit-sharing plans
Hired Labor / Labor,Employee benefit programs,Expense,line_15,,,
Hired Labor / Employee,Employee benefit programs,Expense,line_15,,,
Hired Labor / Labor / Employee,Employee benefit programs,Expense,line_15,,,
Employee benefit programs,Employee benefit programs,Expense,line_15,,,
Livestock Feed / Lamb Feed,Feed,Expense,line_16,,,
Livestock Feed,Feed,Expense,line_16,,,
Lamb Feed,Feed,Expense,line_16,,,
Feed,Feed,Expense,line_16,,,
Agricultural Limestone / Ag Lime / Agricultural Fertilizer / Fertilizer,Fertilizers and lime,Expense,line_17,,,
Agricultural Limestone,Fertilizers and lime,Expense,line_17,,,
Agricultural Limestone / Ag Lime,Fertilizers and lime,Expense,line_17,,,
Agricultural Limestone / Agricultural Fertilizer,Fertilizers and lime,Expense,line_17,,,
Agricultural Limestone / Fertilizer,Fertilizers and lime,Expense,line_17,,,
Agricultural Limestone / Ag Lime / Agricultural Fertilizer,Fertilizers and lime,Expense,line_17,,,
Agricultural Limestone / Ag Lime / Fertilizer,Fertilizers and lime,Expense,line_17,,,
Agricultural Limestone / Agricultural Fertilizer / Fertilizer,Fertilizers and lime,Expense,line_17,,,
Ag Lime,Fertilizers and lime,Expense,line_17,,,
Ag Lime / Agricultural Fertilizer,Fertilizers and lime,Expense,line_17,,,
Ag Lime / Fertilizer,Fertilizers and lime,Expense,line_17,,,
Ag Lime / Agricultural Fertilizer / Fertilizer,Fertilizers and lime,Expense,line_17,,,
Agricultural Fertilizer,Fertilizers and lime,Expense,line_17,,,
Agricultural Fertilizer / Fertilizer,Fertilizers and lime,Expense,line_17,,,
Fertilizer,Fertilizers and lime,Expense,line_17,,,
Fertilizers and lime,Fertilizers and lime,Expense,line_17,,,
Fertilizers,Fertilizers and lime,Expense,line_17,,,
Lime,Fertilizers and lime,Expense,line_17,,,
Transportation / Delivery / Grain Hauling,Freight and trucking,Expense,line_18,,,
Transportation,Freight and trucking,Expense,line_18,,,
Transportation / Delivery,Freight and trucking,Expense,line_18,,,
Transportation / Grain Hauling,Freight and trucking,Expense,line_18,,,
Delivery,Freight and trucking,Expense,line_18,,,
Delivery / Grain Hauling,Freight and trucking,Expense,line_18,,,
Grain Hauling,Freight and trucking,Expense,line_18,,,
Grain Hauliing,Freight and trucking,Expense,line_18,,,
Livestock Hauling,Freight and trucking,Expense,line_18,,,
Freight and trucking,Freight and trucking,Expense,line_18,,,
Freight,Freight and trucking,Expense,line_18,,,
Trucking,Freight and trucking,Expense,line_18,,,
Gas / Gasoline / Petrol / Petroleum / Fuel / Oil / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gas,Unknown,Unknown,Unknown,"Gasoline, fuel and oil",Utilities,
Gas / Gasoline,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Petrol,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Petroleum,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Fuel,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Oil,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Gasoline / Petrol,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Gasoline / Petroleum,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Gasoline / Fuel,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Gasoline / Oil,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Gasoline / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Petrol / Petroleum,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Petrol / Fuel,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Petrol / Oil,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Petrol / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Petroleum / Fuel,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Petroleum / Oil,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Petroleum / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Fuel / Oil,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Fuel / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Oil / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Gasoline / Petrol / Petroleum,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Gasoline / Petrol / Fuel,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Gasoline / Petrol / Oil,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Gasoline / Petrol / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Gasoline / Petroleum / Fuel,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Gasoline / Petroleum / Oil,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Gasoline / Petroleum / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Gasoline / Fuel / Oil,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Gasoline / Fuel / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Gasoline / Oil / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Petrol / Petroleum / Fuel,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Petrol / Petroleum / Oil,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Petrol / Petroleum / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Petrol / Fuel / Oil,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Petrol / Fuel / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Petrol / Oil / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Petroleum / Fuel / Oil,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Petroleum / Fuel / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Petroleum / Oil / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Fuel / Oil / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gas / Gasoline / Petrol / Petroleum / Fuel,"Gasoline, fuel and oil",Expense,line_19,,,
